web-scraper-order,article,contenu,ToF
1549795536-2,الذكرى الثامنة لثورة 14 جانفي: الانتقال الديمقراطي بين جسامة التحديات وتعثرالمسار,تونس 11 جانفي 2019 (وات/تحرير أيمن الزمالي ) – يحيي التونسيون هذه الايام الذكرى الثامنة لثورة 17 ديسمبر14 جانفي . ومازالت التجربة الديمقراطية الوليدة تطرح التساؤلات الكثيرة بخصوصها. لتعثر مسار الانتقال الديمقراطي الذي تعيشه البلاد والتحديات التي   ,T
 1549795605-29,الجبهة الشعبية ستنخرط في إضراب 17 جانفي. وستنزل للشارع في ذكري الثورة احتجاجا على الأوضاع (حمة الهمامي),  صفاقس 13 جانفي 2019 (وات)- أكد أمين عام حزب العمال والناطق الرسمي باسم الجبهة الشعبية حمة الهمامي. انخراط الجبهة الشعبية كليا في الإضراب العام في الوظيفة العمومية والقطاع العام الذى أقره الاتحاد العام التونسي للشغل يوم 17 جانفي الجاري. وذلك     لافتقار     ,T 
1549795610-31,منع جولان جميع أصناف العربات بشارع بورقيبة بالعاصمة ظهر اليوم الاحد وغدا الاثنين (وزارة الداخلية ),تونس 13 جانفييه (وات)بمناسبة إحياء الذكرى الثامنة للثورة يوم الأثنين 14 جانفي 2019 وما يتخللها من أنشطة وتظاهرات مختلفة تعلم وزارة الداخلية العموم أنه تقرر منع جولان جميع أصناف العربات بشارع الحبيب بورقيبة بالعاصمة في جزئه الممتد من ساحة النصر إلى   ,T
 1549795583-20,  رئيس حركة النهضة       لا ينبغي التشويش على القضاء في قضية الجهاز السري ونحن حريصون على كشف الحقيقة      ,تونس 12 جانفي (وات)- قال رئيس حركة النهضة راشد الغنّوشي اليوم السبت إنّ قضية التنظيم السري الذي أعلنت عنه هيئة الدفاع في قضية الشهيدين شكري بلعيد ومحمّد البراهمي من مهام القضاء الذي لا ينبغي التشويش عليه عبر الضغط والإبتزاز  ودعا الغنوشي خلال ندوة   ,T 
1549795685-53,حملة سيب القائمة. تؤكد وجود إرادة سياسية ممانعة لنشر قائمة شهداء وجرحى الثورة,تونس 15 جانفي (وات)-اعتبرت حملة سيّب القائمة الرسميّة أنّ إعلان رئيس الجمهورية الباجي قايد السبسي أمس أن القائمة الرسمية لشهداء وجرحى الثورة جاهزة منذ أكثر من سنة وإعرابه عن أمله في أن تنشر بالرائد الرسمي يؤكّد وجود إرادة ســيــاســية ممانعة لنشر   ,T
 1549795576-17,رئيس الحكومة يزور فرنسا يوم 14 فيفري المقبل (سفير فرنسا),  تونس 11 جانفي 2019 (وات)- قال سفير فرنسا في تونس.     أوليفييه بوافر دارفور    . خلال حفل استقبال بمناسبة السنة الجديدة أقامه الليلة الماضية في مقر إقامته بضاحية المرسى. إن رئيس الحكومة يوسف الشاهد سيؤدي زيارة رسمية الى فرنسا يوم 14 فيفري 2019  وأضاف     ,T 
 1549795545-6,عماد الخميري  هيئة الدفاع عن الشهيدين بلعيد والبراهمي. وكيل لجهة سياسيّة فوضوية ترى في النهضة عدوّا إيديولوجيا وسياسيّا,  تونس 11 جانفي (وات)- قال الناطق الرسمي باسم حركة النهضة عماد الخميري     إنّ هيئة الدفاع عن الشهيدين شكري بلعيد ومحمّد البراهمي ليست سوى وكيل لجهة سياسيّة ترى في حركة النهضة عدوّا إيديولوجيا وسياسيّا لها     وبيّن في تصريح لوكالة تونس إفريقيا للأنباء     ,T 
1549795541-4,الذكرى الثامنة للثورة  رئيس الجمهورية يقرر تمتيع 2160 سجينا بالعفو الخاص,قرطاج 11 جانفي (وات)- التقى رئيس الجمهورية الباجي قايد السبسي اليوم الجمعة بقصر قرطاج. وزير العدل محمد كريم الجموسي الذي قدم له تقريرا حول نتائج أعمال لجنة العفو الخاص وبمناسبة الذكرى الثامنة لعيد الثورة والشباب. قرّر الباجي قايد السبسي وفق بلاغ   ,T
1549795561-12,رئيس الجمهورية يلتقي السفير الأمريكي بتونس بمناسبة إنتهاء مهامه,قرطاج 11 جانفي (وات)- تحادث رئيس الجمهورية الباجي قايد السبسي. اليوم الجمعة بقصر قرطاج. مع سفير الولايات المتحدة الأمريكية بتونس دانيال روبنشتاين. الذي أدى له زيارة توديع بمناسبة انتهاء مهامه في تونس وأكد السفير الأمريكي. عمق روابط الصداقة العريقة   ,T
1549795585-21,الذكرى الثامنة للثورة    حصيلة أولية لعملية تصفية الأموال والقيم الراجعة بالنظر إلى حزب التجمع الدستوري الديمقراطي المنحل,تونس 12 جانفي 2018 (تحرير وات) - بعد مرور ثماني سنوات على اندلاع ثورة 14 جانفي. لم يستكمل بعد مسار تصفية أملاك التجمع الدستوري الديمقراطي. الحزب الحاكم قبل الثورة والذي تم حلّه في 2011 تاركا إرثا هاما يتمثل في حسابات بنكية في تونس وخارجها ومحلات   ,T
1549795687-54,إطارات وأعوان هيئة الانتخابات ينفذون وقفة احتجاجية أمام البرلمان للمطالبة بالترسيم,باردو 15 جانفي (وات)- نفذ عدد من أعوان وإطارات الهيئة العليا المستقلة للانتخابات وقفة احتجاجية اليوم الثلاثاء أمام مجلس نواب الشعب للمطالبة بترسيمهم بعد أكثر من ثماني سنوات من العمل المتواصل في الهيئة. وفق ما صرحت به ل(وات) نجاة لعايجية. عضو النقابة   ,T
1549795619-35,محسن مرزوق يدعو في إجتماع إقليمي لولايات الشمال الغربي إلى تحرير طاقات الجهات وإفرادها بنصيب من ثرواتها,باجة 13 جانفي 2019 (وات)- دعا محسن مرزوق رئيس حزب حركة مشروع تونس. خلال إجتماع إقليمي لولايات جندوبة وباجة وسليانة والكاف. انتظم اليوم الأحد بمدينة باجة. إلى تحرير الطاقات البشرية والطبيعية بالجهات التونسية. وتمكينها من التصرف في جزء من ثرواتها   ,T
 1549795614-33,  خلال اجتماع لحزب الوطد بباجة    دعوة اتحاد الفلاحين والمواطنيين الى التحرك ضد اتفاق     الاليكا      ,  باجة 13 جانفي 2019 ( وات) دعا كل من القيادي بالجبهة الشعبية منجى الرحوي والخبير الاقتصادى مصطفى الجويلي خلال اجتماع انتظم اليوم الاحد بمدينة باجة حول قانون المالية 2019 واتفاقية     الاليكا      اتحاد الفلاحين ونقابة الفلاحين وكل الفلاحين والمواطنيين     ,T 
1549795580-19,الناطق الرسمي باسم الحماية المدنية   إزاحة 116 سيّارة عالقة بالثلوج بعين دراهم واللجان الجهوية لمجابهة الكوارث في حالة انعقاد دائم,تونس 12 جانفي (وات)- أكّد الناطق الرسمي باسم الحماية المدنية معز تريعة اليوم السبت أنّ اللجان الجهوية لمجابهة الكوارث في حالة انعقاد دائم وقد اتخذت كافة الإجراءات لضمان سلامة المواطنين ومجابهة التغيرات المناخيّة ببعض الجهات التي تشهد تساقط   ,T
 1549795661-43,  الذكرى الثامنة للثورة    رئيس الجمهورية يعبّر عن أمله في تلافي الإضراب العام ليوم 17 جانفي     بكل السبل      ,  الذكرى الثامنة للثورة    رئيس الجمهورية يعبّر عن أمله في تلافي الإضراب العام ليوم 17 جانفي     بكل السبل     باردو 14 جانفي (وات) - عبّر رئيس الجمهورية. الباجي قايد السبسي. اليوم الإثنين. بمناسبة الذكرى الثامنة للثورة. عن أمله في تلافي الإضراب العام     ,T 
 1549795589-23,هيئة الحقيقة والكرامة تسلم أول دفعة من قرارات جبر الضرر لخمسة عشر شخصا من صنف المقاومين,  تونس 12 جانفي 2019 (وات) - سلمت هيئة الحقيقة والكرامة. اليوم السبت. أول دفعة من قرارات جبر الضرر لخمسة عشر شخصا من صنف المقاومين.     الذين لم تكرمهم الدولة ولم تعترف بتضحياتهم في سبيل تحرير تونس من الاستعمار الفرنسي    . وفق ما أكدته رئيسة الهيئة سهام بن     ,T 
1549795566-14,دعوة ولاة الشمال الغربي والوسط الغربي الى اخذ الاحتياطات اللازمة لمجابهة التغيرات المناخية (وزارة الداخلية),تونس 11 جانفي 2018 (وات)- تمت دعوة ولاة كل من جندوبة والكاف وباجة وسليانة والقصرين إلى عقد اللجان الجهوية لمجابهة الكوارث وتنظيم النجدة والاستعداد المحكم واخذ الاحتياطات اللازمة لمجابهة التغيرات المناخية على اثر الانخفاض الملحوظ لدرجات الحرارة   ,T
1549795568-15,اللجنة الانتخابية تواصل النظر في الترشحات لهيئة الحوكمة الرشيدة ومكافحة الفساد في صنف مختص في الاتصال والاعلام,تونس 11 جانفي 2019 (وات) - تولت اللجنة الانتخابية التابعة لمجلس نواب الشعب. في جلستها اليوم الجمعة. ترتيب المترشحين المقبولين لعضوية هيئة الحوكمة الرشيدة ومكافحة الفساد في صنف مختص في الاتصال والاعلام ترتيبا تفاضليا طبق السلم التقييمي المعتمد من   ,T
1549795612-32,الرابطة التونسية للدفاع عن حقوق الإنسان تدعو الحكومة والأغلبية البرلمانية إلى تفعيل الدستور في عدد من المسائل,تونس 13 جانفي 2019 (وات)- حثت الرابطة التونسية للدفاع عن حقوق الإنسان. الحكومة والأغلبية النيابية الحاكمة. على تحقيق عدد من المهام الرامية الى تفعيل الدستور. محملة إياها المسؤولية في تعثر استكمال تركيز الهيئات الدستورية والمحكمة الدستورية  ودعت   ,T
1549795595-26,سحب عابرة بأغلب المناطق تكون أحيانا كثيفة مع أمطار متفرقة ومؤقتا رعدية بالشمال,تونس 13 جانفى (وات)- يتميز طقس اليوم الأحد بسحب عابرة بأغلب المناطق تكون أحيانا كثيفة مع أمطار متفرقة ومؤقتا رعدية بالشمال  وتشهد الحرارة ارتفاعا طفيفا وتتراوح القصوى بين06 و11 درجة بالمرتفعات الغربية و بين 12 و 16 درجة ببقية الجهات وتهب الريح من   ,T
 1549795646-37,  بمناسبة الذكرى الثامنة للثورة    الجبهة الشعبية تدعو     الجماهير الشعبية إلى تكثيف تحركاتها لوضع حد لسياسات الائتلاف الحاكم      ,  تونس 13 جانفي 2019 (وات)-دعت الجبهة الشعبية اليوم الأحد. الجماهير الشعبية إلى تكثيف تحركاتها بكامل البلاد من أجل وضع حد     لسياسات الائتلاف الحاكم وإيقاف الانهيار الذي أصاب كافة المجالات الاقتصادية والاجتماعية والسياسية     كما حثت. في بيان أصدرته     ,T 
 1549795659-42,  الذكرى الثامنة للثورة    حمّة الهمامي:     لابد من مقاومة الإئتلاف الحاكم بكل الوسائل المدنية. حفاظا على السيادة الوطنية      ,  تونس 14 جانفي (وات) - قال الناطق الرسمي باسم الجبهة الشعبية. حمّة الهمامي. في تصريح لوكالة تونس إفريقيا للأنباء إنه من الضروري     مقاومة الإئتلاف الحاكم. بكل الوسائل المدنية. من أجل الحفاظ على السيادة الوطنية    . معتبرا أن     هذا الإئتلاف يستمد سياسته من     ,T 
1549795654-40,وزير الشؤون الخارجية يؤدي زيارة عمل إلى اسبانيا يوم غد الثلاثاء,تونس 14 جانفي 2019 (وات) يؤدي وزير الشؤون الخارجية خميس الجهيناوي يوم غد الثلاثاء 15 جانفي 2019. زيارة عمل إلى مملكة إسبانيا بدعوة من نظيره الإسباني جوزيب بوريل   وتندرج هذه الزيارة في إطار الحرص على دعم علاقات الصداقة والتعاون القائمة بين البلدين   ,T
1549795603-28,جيش البحر يتمكن من ايقاف 5 صوماليين كانوا يعتزمون التسلل الى ليبيا,تونس 13 جانفى (وات)- تمكن العنصر البحري التابع لجيش البحر المتمركز بنقطة الرصد المتقدمة برأس جدير(ولاية مدنين) فجر اليوم الأحد. من ايقاف 5 أشخاص لا يحملون وثائق هوية تتراوح اعمارهم بين 16 و 24 سنة ومن بينهم فتاة وأفادت وزارة الدفاع الوطني في بلاغ   ,T
 1549795652-39,  حركة النهضة تدين     الحملات الإعلامية المضللة والمنافسة الانتخابية غير الشريفة    ((بيان))  ,  تونس 13 جانفي(وات)- عبرت حركة النهضة عن إدانتها لما أسمته ب    الحملات الإعلامية المضلّلة. والمنافسة الانتخابية غير الشريفة والقائمة على الكذب والتشويه وابتزاز القضاء والضغط عليه    . مؤكدة     الحاجة للارتقاء بالمشهد السياسي والإعلامي بما يدعم ثقة الشعب في     ,T 
111,ًلبنان: عمود كهرباء يلقى إجماعاً وطنيا,لقي عمود كهرباء يقع في منطقة جميزة في العاصمة اللبنانية بيروت إجماعاً وطنياً والذي يعتبر الأول من نوعه منذ الإجماع الوطني اللبناني على هدم البلاد في منتصف سبعينيات القرن الماضي  وتمثل هذه الخطوة مرحلة جديدة ومفصلية في التاريخ اللبناني المعاصر. خاصة مع صعوبات تكوين أي نوع من التوافق في لبنان على الأصعدة الأخرى. كشكل الدولة وسياساتها الأمنية ومستقبلها السياسي وتحالفاتها الخارجية أو على صعيد الحقوق المدنية وتناحر الطوائف على سبيل المثال  وعلى الرغم من وجود العمود في منطقة الجميزة والتي تقطنها غالبية مسيحية. إلا أن جولات طويلة من المفاوضات ذللت العقبات أمام إحراز هذا التوافق مع القوى والأطياف المختلفة  وأكد الناطق باسم حزب الله “تمسك الحزب بهذا التوافق على الرغم من وجود العديد من الأعمدة الأخرى المناسبة في منطقة الضاحية الجنوبية”  ويرى مراقبون أن التوافق الجديد خطوة أولى نحو مصالحة لبنانية شاملة قد تتطور في نهاية المطاف إلى حد إيصال الكهرباء بدون تقطع إلى عمود الكهرباء هذا  وفي حال تم إيصال التيار الكهربائي. فإن المشهد السياسي اللبناني قد يرى النور لأول مرة منذ سنوات طويلة  ١٠١ مشاركة,F
